scale,model,mae,rmse,smape,cpc,delta_beta,rho_origin,rho_destination,delta_gini
gu,hourly_mean,11.732303578241018,18.286910738961197,0.6073983461545407,0.6773540633804602,0.857520010692097,0.6775869996798743,0.6017399809153221,0.22400256400152108
gu,od_marginal_product,7.64415998935726,16.64860305840979,0.398747040114846,0.7399816895968544,0.7470233166086037,0.6686956521739129,0.7182608695652173,0.11011511749598601
gu,loglinear_gravity,5.7775150472848065,12.43743279275982,0.31193544449691984,0.8234664258995522,0.02739503949675548,0.8999999999999999,0.8582608695652173,0.09249630850026058
gu,geometry,10.05214807575236,19.374969981832713,0.5255547137261756,0.6490444618639404,0.8614273952499549,0.6660869565217391,0.5843478260869565,0.23727887236320533
gu,original,12.000101191434444,18.345724554697135,0.6340870523220451,0.6759750948850713,0.8534707067703704,0.6521739130434783,0.6104347826086955,0.24372246616421878
dong,hourly_mean,1.7581180587515188,2.4694242866216385,0.8912502069812616,0.6871057050878563,0.4454496896267699,0.4371955492871649,0.47067752012041686,0.3073474072515179
dong,od_marginal_product,1.7022075865152595,2.4792435607217036,1.0041469101495788,0.6425836556947948,0.41259505318678763,0.960057934052786,0.9669512991868765,0.21537303916524686
dong,loglinear_gravity,1.486268268616697,2.2668305477551587,0.8915511667978917,0.7071808399784162,0.011492082846760454,0.8286817641548792,0.850427342354043,0.12627761678805527
dong,geometry,1.943566564661558,2.7046326609003657,1.0468746761709642,0.6163347105307564,0.4462583535645439,0.4302549570611062,0.4120801320864973,0.1578765667320483
dong,original,1.9430746747260284,2.7093299009162464,1.0495561952166992,0.6114156929801914,0.4329949618555203,0.48327689486071423,0.5161437646114245,0.1499398341990752
